,Species,Country,Latitude,Longitude,Number of endangered indigenous species,Total number of known species,Number of critically endangered indigenous species,Number of endangered species,Number of vulnerable species,Threatened species as % of known species,Total number of indigenous threatened species,Threatened indigenous species as % of indigenous spec.,Total number of indigenous known species,Total number of threatened species,Number of vulnerable indigenous species,Number of critically endangered species
1407,Marine Fish,Greece,39.074208,21.824312,4.0,511.0,5.0,4.0,5.0,2.74,14.0,2.985,469.0,14.0,5.0,5.0
1408,Freshwater Fish,Greece,39.074208,21.824312,12.0,154.0,14.0,12.0,23.0,31.818,49.0,39.2,125.0,49.0,23.0,14.0
1455,Fish,Hungary,47.162494,19.503304,,81.0,,,,43.21,,,52.0,35.0,,
1456,Freshwater Fish,Hungary,47.162494,19.503304,,81.0,,,,43.21,,,52.0,35.0,,
1478,Freshwater Fish,Iceland,64.963051,-19.020835,,5.0,,,,,,,,,,
1481,Fish,Ireland,53.41291,-8.24389,,404.0,,,,,,,391.0,,,
1482,Marine Fish,Ireland,53.41291,-8.24389,5.0,376.0,6.0,5.0,6.0,4.521,17.0,4.521,376.0,17.0,6.0,6.0
1483,Freshwater Fish,Ireland,53.41291,-8.24389,,28.0,1.0,,4.0,17.857,5.0,33.333,15.0,5.0,4.0,1.0
1506,Fish,Italy,41.87194,12.56738,,641.0,,12.0,14.0,7.332,,,,47.0,,21.0
1507,Marine Fish,Italy,41.87194,12.56738,,544.0,,6.0,6.0,4.044,,,,22.0,,10.0
1508,Freshwater Fish,Italy,41.87194,12.56738,,97.0,,6.0,8.0,25.773,,,,25.0,,11.0
1519,Freshwater Fish,Japan,36.204824,138.252924,,400.0,,71.0,44.0,42.25,,,,169.0,,54.0
1530,Fish,Korea,,,9.0,1290.0,4.0,13.0,7.0,2.031,17.0,,66.0,24.0,4.0,4.0
1532,Freshwater Fish,Korea,,,9.0,202.0,4.0,13.0,7.0,12.871,17.0,,66.0,24.0,4.0,4.0
1545,Fish,Luxembourg,49.815273,6.129583,1.0,43.0,3.0,1.0,8.0,27.907,12.0,44.444,27.0,12.0,8.0,3.0
1546,Freshwater Fish,Luxembourg,49.815273,6.129583,1.0,43.0,3.0,1.0,8.0,27.907,12.0,44.444,27.0,12.0,8.0,3.0
1575,Fish,Mexico,23.634501,-102.552784,44.0,2763.0,3.0,85.0,76.0,6.298,77.0,,,175.0,30.0,14.0
1600,Fish,Netherlands,52.132633,5.291266,5.0,97.0,4.0,5.0,14.0,23.711,23.0,23.711,97.0,23.0,14.0,4.0
1601,Marine Fish,Netherlands,52.132633,5.291266,3.0,57.0,3.0,3.0,4.0,17.544,10.0,17.544,57.0,10.0,4.0,3.0
1602,Freshwater Fish,Netherlands,52.132633,5.291266,2.0,40.0,1.0,2.0,10.0,32.5,13.0,32.5,40.0,13.0,10.0,1.0
1643,Freshwater Fish,New Zealand,-40.900557,174.885971,6.0,75.0,4.0,,,,22.0,40.741,54.0,,12.0,
1660,Fish,Norway,60.472024,8.468946,4.0,312.0,1.0,4.0,2.0,2.244,7.0,3.571,196.0,7.0,2.0,1.0
1661,Marine Fish,Norway,60.472024,8.468946,4.0,278.0,1.0,4.0,2.0,2.518,7.0,3.977,176.0,7.0,2.0,1.0
1662,Freshwater Fish,Norway,60.472024,8.468946,,50.0,,,,,,,33.0,,,
1698,Fish,Poland,51.919438,19.145136,5.0,126.0,6.0,5.0,14.0,19.841,25.0,27.778,90.0,25.0,14.0,6.0
1699,Marine Fish,Poland,51.919438,19.145136,0.0,36.0,1.0,0.0,1.0,5.556,2.0,5.556,36.0,2.0,1.0,1.0
1700,Freshwater Fish,Poland,51.919438,19.145136,4.0,77.0,1.0,4.0,12.0,22.078,17.0,36.957,46.0,17.0,12.0,1.0
1747,Fish,Portugal,39.399872,-8.224454,10.0,65.0,8.0,10.0,4.0,33.846,22.0,62.857,35.0,22.0,4.0,8.0
1771,Freshwater Fish,Slovak Republic,,,6.0,79.0,,6.0,6.0,15.19,12.0,19.048,63.0,12.0,6.0,
1793,Freshwater Fish,Spain,40.463667,-3.74922,7.0,82.0,9.0,7.0,19.0,42.683,35.0,,,35.0,19.0,9.0
1813,Fish,Sweden,60.128161,18.643501,6.0,141.0,6.0,6.0,8.0,14.184,20.0,14.184,141.0,20.0,8.0,6.0
1838,Fish,Switzerland,46.818188,8.227512,5.0,70.0,6.0,5.0,13.0,34.286,24.0,43.636,55.0,24.0,13.0,6.0
1839,Freshwater Fish,Switzerland,46.818188,8.227512,5.0,70.0,6.0,5.0,13.0,34.286,24.0,43.636,55.0,24.0,13.0,6.0
1862,Fish,Turkey,38.963745,35.243322,,716.0,,,,,,,,,,
1863,Marine Fish,Turkey,38.963745,35.243322,,480.0,,,,,,,,,,
1864,Freshwater Fish,Turkey,38.963745,35.243322,,402.0,,,,,,,,,,
1869,Fish,United Kingdom,55.378051,-3.435973,11.0,622.0,7.0,,,,42.0,,,,24.0,
1870,Freshwater Fish,United Kingdom,55.378051,-3.435973,1.0,,,3.0,1.0,,1.0,,,4.0,,
1883,Fish,Chile,-35.675147,-71.542969,23.0,1272.0,1.0,23.0,14.0,,38.0,3.1,1226.0,38.0,14.0,1.0
1884,Marine Fish,Chile,-35.675147,-71.542969,,1182.0,,,1.0,,1.0,0.085,1182.0,1.0,1.0,
1885,Freshwater Fish,Chile,-35.675147,-71.542969,23.0,72.0,1.0,23.0,13.0,,37.0,84.091,44.0,37.0,13.0,1.0
1922,Fish,Estonia,58.595272,25.013607,1.0,103.0,3.0,1.0,5.0,8.738,9.0,13.636,66.0,9.0,5.0,3.0
1923,Marine Fish,Estonia,58.595272,25.013607,1.0,66.0,2.0,1.0,1.0,6.061,4.0,7.692,52.0,4.0,1.0,2.0
1924,Freshwater Fish,Estonia,58.595272,25.013607,1.0,54.0,3.0,1.0,5.0,16.667,9.0,20.455,44.0,9.0,5.0,3.0
1971,Freshwater Fish,Russia,61.52401,105.318756,,,,,,,,,,40.0,,
1972,Fish,Slovenia,46.151241,14.995463,40.0,273.0,,40.0,10.0,18.315,50.0,,,50.0,10.0,
1973,Marine Fish,Slovenia,46.151241,14.995463,9.0,188.0,,9.0,1.0,5.319,10.0,,,10.0,1.0,
1974,Freshwater Fish,Slovenia,46.151241,14.995463,31.0,85.0,,31.0,9.0,47.059,40.0,,,40.0,9.0,
2022,Fish,France,46.227638,2.213749,,163.0,,11.0,8.0,15.951,,,,26.0,,7.0
2023,Marine Fish,France,46.227638,2.213749,,83.0,,5.0,3.0,,,,,11.0,,3.0
2034,Fish,New Zealand,-40.900557,174.885971,6.0,289.0,4.0,,,,22.0,8.527,258.0,,12.0,
2035,Marine Fish,New Zealand,-40.900557,174.885971,,214.0,,,,,,,204.0,,,
2048,Mosses,Canada,56.130366,-106.346771,85.0,1373.0,75.0,85.0,134.0,21.413,294.0,21.554,1364.0,294.0,134.0,75.0
2051,Lichens,Canada,56.130366,-106.346771,51.0,857.0,70.0,51.0,63.0,21.47,184.0,21.495,856.0,184.0,63.0,70.0
2064,Mosses,Finland,61.92411,25.748151,70.0,892.0,37.0,70.0,76.0,20.516,183.0,20.516,892.0,183.0,76.0,37.0
2065,Lichens,Finland,61.92411,25.748151,81.0,1594.0,63.0,81.0,124.0,16.813,268.0,16.813,1594.0,268.0,124.0,63.0
2066,Invertebrates,Finland,61.92411,25.748151,393.0,23950.0,123.0,393.0,739.0,5.24,1255.0,5.24,23950.0,1255.0,739.0,123.0
2105,Fish,Germany,51.165691,10.451526,14.0,197.0,12.0,14.0,23.0,26.344,49.0,28.488,183.0,49.0,23.0,12.0
2106,Marine Fish,Germany,51.165691,10.451526,5.0,94.0,4.0,5.0,12.0,22.581,21.0,22.581,94.0,21.0,12.0,4.0
2107,Mosses,Germany,51.165691,10.451526,114.0,1195.0,45.0,114.0,250.0,40.946,409.0,40.946,1189.0,409.0,250.0,45.0
2108,Lichens,Germany,51.165691,10.451526,169.0,2380.0,337.0,169.0,546.0,51.672,1052.0,51.672,2380.0,1052.0,546.0,337.0
2109,Invertebrates,Germany,51.165691,10.451526,1010.0,10434.0,559.0,1010.0,2183.0,36.593,3752.0,36.921,10256.0,3752.0,2183.0,559.0
2167,Invertebrates,Italy,41.87194,12.56738,,58632.0,,136.0,232.0,0.778,,,,456.0,,88.0
2173,Marine Fish,Korea,,,,1088.0,,,,,,,,,,
2175,Invertebrates,Korea,,,13.0,27568.0,6.0,43.0,137.0,0.769,56.0,,1716.0,204.0,37.0,24.0
2192,Invertebrates,Luxembourg,49.815273,6.129583,,149.0,,7.0,9.0,15.436,,,,23.0,,7.0
2197,Marine Fish,Mexico,23.634501,-102.552784,0.0,2224.0,0.0,1.0,2.0,,0.0,,,3.0,0.0,0.0
2198,Freshwater Fish,Mexico,23.634501,-102.552784,39.0,505.0,3.0,74.0,65.0,30.693,70.0,46.713,289.0,152.0,28.0,13.0
2202,Invertebrates,Mexico,23.634501,-102.552784,20.0,,1.0,24.0,26.0,,39.0,,,51.0,18.0,1.0
2207,Mosses,Mexico,23.634501,-102.552784,0.0,1000.0,0.0,0.0,2.0,,0.0,,77.0,2.0,0.0,0.0
2226,Mosses,Netherlands,52.132633,5.291266,27.0,517.0,52.0,27.0,43.0,23.598,122.0,23.598,517.0,122.0,43.0,52.0
2227,Lichens,Netherlands,52.132633,5.291266,42.0,683.0,49.0,42.0,65.0,22.84,156.0,22.84,683.0,156.0,65.0,49.0
2228,Invertebrates,Netherlands,52.132633,5.291266,60.0,507.0,51.0,60.0,51.0,31.953,162.0,31.953,507.0,162.0,51.0,51.0
2246,Invertebrates,New Zealand,-40.900557,174.885971,62.0,33000.0,133.0,62.0,71.0,0.806,266.0,0.866,30700.0,266.0,71.0,133.0
2247,Mosses,New Zealand,-40.900557,174.885971,4.0,,14.0,4.0,2.0,,20.0,3.81,525.0,20.0,2.0,14.0
2248,Lichens,New Zealand,-40.900557,174.885971,2.0,,6.0,2.0,8.0,,16.0,0.79,2026.0,16.0,8.0,6.0
2278,Mosses,Norway,60.472024,8.468946,61.0,1085.0,22.0,61.0,59.0,13.088,142.0,13.112,1083.0,142.0,59.0,22.0
2279,Lichens,Norway,60.472024,8.468946,73.0,2032.0,45.0,73.0,99.0,10.679,217.0,10.684,2031.0,217.0,99.0,45.0
2280,Invertebrates,Norway,60.472024,8.468946,459.0,18010.0,92.0,459.0,706.0,6.979,1257.0,7.26,17315.0,1257.0,706.0,92.0
2314,Mosses,Poland,51.919438,19.145136,52.0,702.0,,52.0,31.0,11.823,83.0,11.925,696.0,83.0,31.0,
2315,Lichens,Poland,51.919438,19.145136,201.0,1701.0,179.0,201.0,165.0,32.04,545.0,32.04,1701.0,545.0,165.0,179.0
2316,Invertebrates,Poland,51.919438,19.145136,358.0,33872.0,152.0,358.0,571.0,3.191,1081.0,3.214,33637.0,1081.0,571.0,152.0
2348,Mosses,Slovak Republic,,,,909.0,,104.0,112.0,34.213,,,,311.0,,95.0
2349,Lichens,Slovak Republic,,,,1508.0,,48.0,169.0,23.674,,,,357.0,,140.0
2350,Invertebrates,Slovak Republic,,,,24818.0,,401.0,1036.0,6.592,,,,1636.0,,199.0
2366,Mosses,Switzerland,46.818188,8.227512,58.0,996.0,61.0,58.0,282.0,40.261,401.0,40.302,995.0,401.0,282.0,61.0
2367,Lichens,Switzerland,46.818188,8.227512,96.0,713.0,45.0,96.0,116.0,36.045,257.0,36.045,713.0,257.0,116.0,45.0
2368,Invertebrates,Switzerland,46.818188,8.227512,358.0,3154.0,229.0,358.0,487.0,34.052,1074.0,35.341,3039.0,1074.0,487.0,229.0
2417,Lichens,United Kingdom,55.378051,-3.435973,34.0,2875.0,45.0,34.0,108.0,6.609,187.0,,,187.0,108.0,45.0
2418,Invertebrates,United Kingdom,55.378051,-3.435973,118.0,36242.0,82.0,118.0,202.0,2.478,402.0,,3226.0,402.0,202.0,82.0
2420,Mosses,United Kingdom,55.378051,-3.435973,37.0,805.0,23.0,37.0,63.0,15.28,123.0,,,123.0,63.0,23.0
2451,Mosses,Chile,-35.675147,-71.542969,4.0,923.0,1.0,4.0,4.0,0.189,9.0,0.192,907.0,9.0,4.0,1.0
2452,Lichens,Chile,-35.675147,-71.542969,,1383.0,1.0,,1.0,,2.0,,1383.0,2.0,1.0,1.0
2453,Invertebrates,Chile,-35.675147,-71.542969,63.0,12220.0,33.0,63.0,23.0,0.761,119.0,0.769,12047.0,119.0,23.0,33.0
2471,Mammals,Colombia,4.570868,-74.297333,3.0,528.0,4.0,18.0,32.0,8.015,13.0,12.069,58.0,55.0,5.0,5.0
2472,Birds,Colombia,4.570868,-74.297333,20.0,1954.0,13.0,40.0,80.0,7.334,49.0,62.195,82.0,136.0,16.0,16.0
2473,Reptiles,Colombia,4.570868,-74.297333,,743.0,,16.0,17.0,6.962,,,,44.0,,11.0
2474,Amphibians,Colombia,4.570868,-74.297333,,850.0,,123.0,101.0,6.651,,,367.0,299.0,,75.0
2475,Vascular plants,Colombia,4.570868,-74.297333,175.0,24633.0,91.0,264.0,345.0,2.927,471.0,10.313,4567.0,721.0,205.0,112.0
2476,Fish,Colombia,4.570868,-74.297333,,4192.0,,10.0,92.0,2.662,,,,109.0,,7.0
2477,Marine Fish,Colombia,4.570868,-74.297333,,2582.0,,2.0,9.0,0.465,,,,12.0,,1.0
2478,Freshwater Fish,Colombia,4.570868,-74.297333,2.0,1610.0,2.0,3.0,46.0,3.353,23.0,6.267,401.0,51.0,19.0,2.0
2479,Mosses,Colombia,4.570868,-74.297333,1.0,1718.0,3.0,4.0,32.0,2.445,22.0,,,42.0,18.0,6.0
2480,Lichens,Colombia,4.570868,-74.297333,0.0,1673.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0
2481,Invertebrates,Colombia,4.570868,-74.297333,,10999.0,,44.0,48.0,0.891,,,,98.0,,6.0
2557,Mosses,Estonia,58.595272,25.013607,24.0,598.0,19.0,24.0,116.0,26.589,159.0,26.633,597.0,159.0,116.0,19.0
2558,Lichens,Estonia,58.595272,25.013607,74.0,556.0,64.0,74.0,43.0,32.554,181.0,32.849,551.0,181.0,43.0,64.0
2559,Invertebrates,Estonia,58.595272,25.013607,43.0,9808.0,39.0,43.0,37.0,1.213,119.0,1.254,9489.0,119.0,37.0,39.0
2603,Birds,Israel,31.046051,34.851612,13.0,,21.0,,,,65.0,30.516,213.0,,31.0,
2604,Amphibians,Israel,31.046051,34.851612,3.0,,2.0,,,,6.0,85.714,7.0,,1.0,
2605,Fish,Israel,31.046051,34.851612,0.0,,6.0,,,,6.0,18.75,32.0,,0.0,
2606,Freshwater Fish,Israel,31.046051,34.851612,0.0,,6.0,,,,6.0,18.75,32.0,,0.0,
2629,Mammals,Latvia,56.879635,24.603189,3.0,62.0,0.0,3.0,2.0,8.065,5.0,9.259,54.0,5.0,2.0,0.0
2630,Birds,Latvia,56.879635,24.603189,19.0,233.0,4.0,19.0,16.0,16.738,39.0,16.883,231.0,39.0,16.0,4.0
2631,Reptiles,Latvia,56.879635,24.603189,1.0,7.0,1.0,1.0,0.0,28.571,2.0,28.571,7.0,2.0,0.0,1.0
2632,Amphibians,Latvia,56.879635,24.603189,1.0,13.0,1.0,1.0,2.0,30.769,3.0,23.077,13.0,4.0,1.0,1.0
2633,Vascular plants,Latvia,56.879635,24.603189,110.0,1937.0,16.0,110.0,83.0,10.79,209.0,16.028,1304.0,209.0,83.0,16.0
2634,Fish,Latvia,56.879635,24.603189,0.0,87.0,1.0,0.0,1.0,2.299,2.0,2.778,72.0,2.0,1.0,1.0
2635,Marine Fish,Latvia,56.879635,24.603189,0.0,42.0,1.0,0.0,,2.381,1.0,3.704,27.0,1.0,,1.0
2636,Freshwater Fish,Latvia,56.879635,24.603189,0.0,45.0,,0.0,1.0,2.222,1.0,2.222,45.0,1.0,1.0,
2653,Mosses,Latvia,56.879635,24.603189,41.0,560.0,3.0,41.0,17.0,10.893,61.0,10.912,559.0,61.0,17.0,3.0
2654,Lichens,Latvia,56.879635,24.603189,18.0,687.0,2.0,18.0,4.0,3.493,24.0,3.493,687.0,24.0,4.0,2.0
2655,Invertebrates,Latvia,56.879635,24.603189,38.0,17100.0,7.0,38.0,34.0,0.462,79.0,0.465,17000.0,79.0,34.0,7.0
2733,Mammals,Brazil,-14.235004,-51.92528,,,,43.0,55.0,,,,,110.0,,12.0
2734,Birds,Brazil,-14.235004,-51.92528,,,,71.0,120.0,,,,,234.0,,42.0
2735,Reptiles,Brazil,-14.235004,-51.92528,,,,50.0,20.0,,,,,80.0,,10.0
2736,Amphibians,Brazil,-14.235004,-51.92528,,877.0,,12.0,11.0,4.333,,,,38.0,,18.0
2737,Fish,Brazil,-14.235004,-51.92528,,,,126.0,148.0,,,,,409.0,,135.0
2738,Marine Fish,Brazil,-14.235004,-51.92528,,,,14.0,50.0,,,,,98.0,,34.0
2739,Freshwater Fish,Brazil,-14.235004,-51.92528,,,,112.0,98.0,,,,,311.0,,101.0
2740,Invertebrates,Brazil,-14.235004,-51.92528,,,,104.0,94.0,,,,,299.0,,101.0
2765,Mosses,Australia,-25.274398,133.775136,,1871.0,,,1.0,0.056,1.0,0.056,1865.0,1.0,1.0,
2766,Lichens,Australia,-25.274398,133.775136,,3880.0,,,,,,,3878.0,,,
2767,Invertebrates,Australia,-25.274398,133.775136,22.0,114095.0,30.0,22.0,13.0,0.059,65.0,,,65.0,13.0,30.0
2778,Mosses,Belgium,50.503887,4.469936,,521.0,,,,26.871,140.0,26.871,521.0,140.0,,
2779,Lichens,Belgium,50.503887,4.469936,,838.0,,,,59.069,495.0,59.069,838.0,495.0,,
2780,Invertebrates,Belgium,50.503887,4.469936,201.0,5238.0,135.0,201.0,230.0,10.806,566.0,10.828,5227.0,566.0,230.0,135.0
2802,Mosses,Czech Republic,49.817492,15.472962,88.0,892.0,70.0,88.0,93.0,28.139,251.0,28.139,892.0,251.0,93.0,70.0
2803,Lichens,Czech Republic,49.817492,15.472962,186.0,1526.0,136.0,186.0,247.0,37.287,569.0,37.287,1526.0,569.0,247.0,136.0
2804,Invertebrates,Czech Republic,49.817492,15.472962,1173.0,32627.0,1014.0,1173.0,1339.0,10.151,3526.0,,32627.0,3526.0,1339.0,1014.0
2820,Lichens,Denmark,56.26392,9.501785,50.0,1002.0,84.0,50.0,87.0,44.231,221.0,,993.0,221.0,87.0,84.0
2821,Invertebrates,Denmark,56.26392,9.501785,179.0,4270.0,104.0,179.0,319.0,14.044,602.0,,3904.0,602.0,319.0,104.0
2832,Mosses,Ireland,53.41291,-8.24389,,596.0,,30.0,64.0,18.96,,,,113.0,,19.0
2833,Invertebrates,Ireland,53.41291,-8.24389,51.0,1230.0,28.0,51.0,100.0,14.669,179.0,,,179.0,100.0,28.0
2844,Mosses,Japan,36.204824,138.252924,,1800.0,,138.0,103.0,13.389,,,,240.0,,137.0
2845,Lichens,Japan,36.204824,138.252924,,1600.0,,41.0,20.0,3.813,,,,63.0,,43.0
2846,Invertebrates,Japan,36.204824,138.252924,,5300.0,,22.0,43.0,1.226,,,,65.0,,22.0
2859,Mosses,Korea,,,,925.0,,,,,,,,,,
2860,Lichens,Korea,,,,1133.0,,,,,,,,,,
2913,Mosses,Spain,40.463667,-3.74922,52.0,1100.0,46.0,52.0,161.0,23.545,259.0,23.545,1100.0,259.0,161.0,46.0
2914,Lichens,Spain,40.463667,-3.74922,,2426.0,,,,,,,2426.0,,,
2917,Invertebrates,Spain,40.463667,-3.74922,54.0,,22.0,54.0,170.0,,246.0,0.479,44266.0,246.0,170.0,22.0
2937,Marine Fish,Sweden,60.128161,18.643501,6.0,100.0,6.0,6.0,7.0,19.0,19.0,19.0,100.0,19.0,7.0,6.0
2938,Freshwater Fish,Sweden,60.128161,18.643501,1.0,42.0,,1.0,1.0,4.762,2.0,4.762,42.0,2.0,1.0,
2960,Mammals,Costa Rica,9.748917,-83.753428,,241.0,,7.0,10.0,4.846,,,,18.0,,1.0
2961,Birds,Costa Rica,9.748917,-83.753428,,888.0,,8.0,20.0,2.921,,,,30.0,,2.0
2962,Reptiles,Costa Rica,9.748917,-83.753428,,173.0,,5.0,5.0,6.936,,,,12.0,,2.0
2963,Amphibians,Costa Rica,9.748917,-83.753428,,192.0,,22.0,16.0,32.275,,,,61.0,,23.0
2964,Vascular plants,Costa Rica,9.748917,-83.753428,,1179.0,,47.0,86.0,28.773,,,,137.0,,4.0
2965,Invertebrates,Costa Rica,9.748917,-83.753428,,447.0,,13.0,15.0,7.69,,,,31.0,,3.0
3014,Mammals,Lithuania,55.169438,23.881275,3.0,68.0,,3.0,4.0,10.294,7.0,11.864,59.0,7.0,4.0,
3015,Birds,Lithuania,55.169438,23.881275,17.0,389.0,19.0,17.0,20.0,14.396,56.0,15.217,368.0,56.0,20.0,19.0
3016,Reptiles,Lithuania,55.169438,23.881275,1.0,7.0,,1.0,1.0,28.571,2.0,28.571,7.0,2.0,1.0,
3017,Amphibians,Lithuania,55.169438,23.881275,1.0,13.0,,1.0,3.0,15.385,4.0,15.385,13.0,4.0,3.0,
3018,Vascular plants,Lithuania,55.169438,23.881275,66.0,1334.0,23.0,66.0,41.0,9.745,130.0,16.539,786.0,130.0,41.0,23.0
3019,Fish,Lithuania,55.169438,23.881275,0.0,105.0,3.0,0.0,2.0,4.762,5.0,5.882,85.0,5.0,2.0,3.0
3020,Marine Fish,Lithuania,55.169438,23.881275,0.0,51.0,1.0,0.0,0.0,1.961,1.0,2.041,49.0,1.0,0.0,1.0
3021,Freshwater Fish,Lithuania,55.169438,23.881275,0.0,54.0,2.0,0.0,2.0,7.407,4.0,11.111,36.0,4.0,2.0,2.0
3022,Mosses,Lithuania,55.169438,23.881275,13.0,470.0,9.0,13.0,26.0,10.213,48.0,,,48.0,26.0,9.0
3023,Lichens,Lithuania,55.169438,23.881275,16.0,250.0,24.0,16.0,3.0,17.2,43.0,,,43.0,3.0,24.0
3024,Invertebrates,Lithuania,55.169438,23.881275,54.0,25000.0,13.0,54.0,22.0,0.356,89.0,,,89.0,22.0,13.0
3154,Mosses,Austria,47.516231,14.550072,69.0,1016.0,34.0,69.0,135.0,23.425,238.0,23.425,1016.0,238.0,135.0,34.0
3155,Lichens,Austria,47.516231,14.550072,135.0,2100.0,57.0,135.0,251.0,21.095,443.0,21.095,2100.0,443.0,251.0,57.0
3156,Invertebrates,Austria,47.516231,14.550072,310.0,45244.0,302.0,310.0,356.0,2.14,968.0,2.14,45244.0,968.0,356.0,302.0
3190,Invertebrates,France,46.227638,2.213749,,1060.0,,22.0,179.0,20.66,,,,219.0,,18.0
3207,Mosses,Italy,41.87194,12.56738,,1209.0,,,,20.274,,,,237.0,,
3208,Lichens,Italy,41.87194,12.56738,,2704.0,,,,5.658,,,,153.0,,
3213,Invertebrates,Turkey,38.963745,35.243322,,20636.0,,,,0.431,,,,89.0,,
3234,Lichens,Turkey,38.963745,35.243322,,1000.0,,,,,,,,,,
3239,Invertebrates,Canada,56.130366,-106.346771,295.0,19938.0,205.0,295.0,765.0,6.345,1265.0,6.69,18908.0,1265.0,765.0,205.0
3251,Mosses,Hungary,47.162494,19.503304,90.0,659.0,20.0,90.0,63.0,26.252,173.0,26.332,657.0,173.0,63.0,20.0
3252,Lichens,Hungary,47.162494,19.503304,44.0,715.0,24.0,44.0,45.0,15.804,113.0,15.804,715.0,113.0,45.0,24.0
3253,Invertebrates,Hungary,47.162494,19.503304,7.0,87.0,9.0,7.0,8.0,27.586,24.0,27.586,87.0,24.0,8.0,9.0
3287,Fish,Japan,36.204824,138.252924,,4300.0,,79.0,46.0,4.302,,,,185.0,,60.0
3288,Marine Fish,Japan,36.204824,138.252924,,3900.0,,8.0,2.0,0.41,,,,16.0,,6.0
3341,Marine Fish,Spain,40.463667,-3.74922,2.0,1064.0,0.0,2.0,5.0,0.658,7.0,,,7.0,5.0,0.0
3376,Fish,Costa Rica,9.748917,-83.753428,,1835.0,,9.0,58.0,3.751,,,,68.0,,1.0
3377,Mosses,Costa Rica,9.748917,-83.753428,,4.0,,,2.0,50.0,,,,2.0,,
3391,Invertebrates,Russia,61.52401,105.318756,,,,,,,,,,38.0,,
3397,Fish,Denmark,56.26392,9.501785,3.0,238.0,3.0,3.0,2.0,,8.0,,135.0,8.0,2.0,3.0
3398,Mosses,Denmark,56.26392,9.501785,13.0,452.0,5.0,13.0,33.0,,51.0,,447.0,51.0,33.0,5.0
3447,Fish,Spain,40.463667,-3.74922,9.0,1146.0,9.0,9.0,24.0,3.665,42.0,,,42.0,24.0,9.0
